DATA_BASE,ID_REDACAO,MODEL_ID,TASK_ID,ANSWER_ID,QUESTION_ID,EXTERNAL_ID,NICK,NR_SERIE,CD_TIPO_ENSINO,NM_TIPO_ENSINO,TITULO,TEXTO,CRITERIO_1_NOTA,CRITERIO_1_DEVOLUTIVA,CRITERIO_2_NOTA,CRITERIO_2_DEVOLUTIVA,CRITERIO_3_NOTA,CRITERIO_3_DEVOLUTIVA,CRITERIO_4_NOTA,CRITERIO_4_DEVOLUTIVA,CRITERIO_5_NOTA,CRITERIO_5_DEVOLUTIVA,NOTA_GERAL,COMENTARIO_GERAL
2026-03-06,RED-001,modelo-v1,T-01,A-001,Q-99,ALU-101,AnaB,3ª Série,EM,Ensino Médio,"O impacto da IA","A inteligência artificial tem mudado o mundo de forma drástica. Muitos empregos estão sendo substituídos, mas novas oportunidades também surgem. É preciso regulamentação para que o futuro seja seguro para todos os trabalhadores.",160,"Bom domínio da norma culta, com leves desvios de pontuação.",120,"Compreendeu o tema, mas a argumentação foi superficial.",160,"Bons argumentos, mas carece de repertório sociocultural mais forte.",120,"Mecanismos de coesão presentes, mas com algumas repetições.",160,"Proposta de intervenção razoável, focada na regulamentação.",720,"Texto bom, mas precisa aprofundar a argumentação com dados."
2026-03-06,RED-002,modelo-v1,T-01,A-002,Q-99,ALU-102,CarlosM,3ª Série,EM,Ensino Médio,"Redes Sociais e a Ansiedade","Vivemos na era da hiperconexão. As redes sociais, embora conectem pessoas distantes, têm gerado um aumento alarmante nos casos de ansiedade entre os jovens, que se comparam constantemente com vidas irreais na internet.",180,"Excelente domínio da norma padrão da língua portuguesa.",160,"Boa compreensão da proposta e aplicação de conceitos de sociologia.",160,"Argumentos bem selecionados e encadeados de forma lógica.",160,"Uso diversificado de conectivos ao longo do texto.",180,"Proposta de intervenção detalhada (agente, ação, meio e efeito).",840,"Ótima redação. Repertório sociocultural muito bem aplicado."
2026-03-06,RED-003,modelo-v1,T-01,A-003,Q-99,ALU-103,BeatrizS,2ª Série,EM,Ensino Médio,"Aquecimento Global","O planeta está ficando mais quente a cada ano. Precisamos parar de poluir e reciclar mais o lixo. Se não fizermos isso, os ursos polares vão sumir e o nível do mar vai subir muito.",120,"Muitos desvios gramaticais e marcas de oralidade.",120,"Fugiu parcialmente do formato dissertativo-argumentativo.",120,"Argumentação baseada no senso comum, sem aprofundamento.",80,"Pouco uso de conectivos entre os parágrafos.",120,"Proposta de intervenção vaga e sem detalhamento.",560,"O texto parece mais um desabafo do que uma dissertação. Precisa focar na estrutura."
2026-03-06,RED-004,modelo-v1,T-01,A-004,Q-99,ALU-104,JoaoP,3ª Série,EM,Ensino Médio,"A Leitura no Brasil","Ler é muito importante. No Brasil as pessoas leem pouco porque o livro é caro. O governo deveria dar livros de graça nas escolas para incentivar a leitura das crianças.",140,"Domínio mediano da norma culta.",120,"Compreensão básica do tema, sem extrapolar os textos motivadores.",120,"Ideias previsíveis e pouco desenvolvidas.",120,"Coesão adequada, mas vocabulário restrito.",120,"Proposta válida, mas carece de detalhamento sobre o financiamento.",620,"Faltou explorar melhor as causas do problema além do preço do livro."
2026-03-06,RED-005,modelo-v1,T-01,A-005,Q-99,ALU-105,MarianaL,3ª Série,EM,Ensino Médio,"Mobilidade Urbana","O trânsito nas grandes capitais brasileiras é um reflexo do planejamento urbano falho das últimas décadas. Priorizar o transporte individual em detrimento do coletivo gerou um colapso nas vias públicas.",180,"Texto fluido, com excelente vocabulário e pouquíssimos erros.",180,"Abordagem profunda do tema, indo à raiz do problema histórico.",160,"Argumentação sólida, citando exemplos de cidades planejadas.",180,"Articulação perfeita entre frases e parágrafos.",160,"Ação de intervenção clara, mas poderia detalhar mais o agente.",860,"Redação madura, com excelente capacidade de síntese e argumentação."
2026-03-06,RED-006,modelo-v1,T-01,A-006,Q-99,ALU-106,PedroH,1ª Série,EM,Ensino Médio,"Tecnologia na Escola","Usar celular na sala de aula atrapalha. Os alunos não prestam atenção no professor e ficam só no TikTok. A escola deveria proibir o uso e confiscar os aparelhos na porta.",100,"Muitos erros de concordância e pontuação.",80,"Tendeu mais para a opinião pessoal do que para uma dissertação.",100,"Argumentos limitados à experiência pessoal.",80,"Falta de conectivos, frases muito curtas e soltas.",80,"Intervenção punitiva e pouco realista.",440,"Precisa praticar a estrutura dissertativa e focar na norma padrão."
2026-03-06,RED-007,modelo-v1,T-01,A-007,Q-99,ALU-107,LuizaC,3ª Série,EM,Ensino Médio,"Desigualdade Social","A concentração de renda no Brasil perpetua um ciclo de pobreza difícil de quebrar. A falta de acesso à educação de qualidade nas periferias é o principal motor dessa engrenagem desigual.",160,"Boa escrita, com alguns deslizes de crase.",160,"Leitura atenta do tema e boa problematização.",160,"Sustentou bem a tese de que a educação é a chave.",160,"Bom uso de elementos coesivos referenciais.",160,"Proposta exequível envolvendo o Ministério da Educação.",800,"Texto consistente e direto ao ponto. Muito bom."
2026-03-06,RED-008,modelo-v1,T-01,A-008,Q-99,ALU-108,RafaelaT,2ª Série,EM,Ensino Médio,"O Papel da Mulher","As mulheres conquistaram muito espaço no mercado de trabalho, mas ainda ganham menos que os homens nos mesmos cargos. A sociedade machista precisa evoluir para garantir igualdade real.",140,"Texto claro, mas com algumas falhas de sintaxe.",140,"Compreendeu o tema perfeitamente.",160,"Bons argumentos históricos, mas faltou dados estatísticos.",140,"Coesão satisfatória.",160,"Proposta de intervenção focada em leis mais rígidas.",740,"Boa linha de raciocínio. Tente incluir dados nas próximas."
2026-03-06,RED-009,modelo-v1,T-01,A-009,Q-99,ALU-109,FelipeR,3ª Série,EM,Ensino Médio,"Saúde Mental","Depois da pandemia, a saúde mental virou prioridade. Muitas pessoas desenvolveram depressão pelo isolamento. É preciso que o SUS ofereça mais psicólogos para a população carente.",160,"Norma culta bem respeitada.",160,"Tema abordado de forma sensível e correta.",140,"A argumentação ficou muito focada na pandemia e esqueceu outras causas.",160,"Texto amarrado de forma coesa.",180,"Intervenção muito bem detalhada, usando o SUS como agente.",800,"Ótima redação. A proposta de intervenção salvou a nota final."
2026-03-06,RED-010,modelo-v1,T-01,A-010,Q-99,ALU-110,SofiaM,3ª Série,EM,Ensino Médio,"Cultura do Cancelamento","O tribunal da internet não perdoa. A cultura do cancelamento transformou o erro humano em um crime imperdoável, destruindo reputações sem direito a defesa em questão de horas.",180,"Excelentes escolhas vocabulares e gramática impecável.",180,"Abordagem crítica e sociológica muito interessante.",180,"Repertório farto, citando filósofos como Zygmunt Bauman.",180,"Transições perfeitas entre os parágrafos.",160,"Intervenção focada em educação digital nas escolas.",880,"Excelente texto! A menção à modernidade líquida foi o ponto alto."